                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.4422,                 3.2617,                 2.6591,                 1.7603,                0.31131,                0.29489,                0.22766,                0.13011,                0.24102,                0.10827,                0.08304,                0.03445,                 1.4339,                 2.8383,                 2.3161,                  1.838,               0.006832,               0.006832,               0.006832
                     66,                 1.4379,                 3.2408,                 2.6308,                 1.7603,                0.28847,                0.28689,                 0.2231,                 0.1292,                0.19706,                0.10904,                0.08045,                0.03372,                  1.427,                 2.8475,                  2.371,                 1.8267,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4353,                 3.2381,                 2.6265,                 1.7606,                 0.3062,                0.29286,                0.22845,                0.13332,                0.19794,                0.11036,                0.07893,                0.03355,                 1.4193,                 2.8372,                 2.2428,                 1.8236,               0.006733,               0.006733,               0.006733
                     68,                  1.434,                 3.2408,                 2.6091,                  1.753,                 0.2957,                 0.2992,                0.22922,                0.13464,                0.21844,                0.11035,                0.08415,                0.03507,                 1.4219,                  2.826,                 2.3043,                 1.8234,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4316,                 3.2378,                 2.6097,                 1.7512,                0.31299,                0.28976,                0.22312,                0.13118,                0.22008,                0.10597,                0.08063,                0.03443,                 1.4188,                 2.8324,                 2.4579,                 1.8312,               0.006634,               0.006634,               0.006634
                     70,                  1.424,                 3.2222,                 2.5803,                 1.7446,                0.29933,                0.30085,                0.22667,                0.13273,                0.24094,                0.10164,                0.08074,                0.03484,                  1.401,                 2.8176,                 2.6541,                 1.8187,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4257,                 3.2182,                 2.5716,                 1.7458,                0.28948,                0.30708,                0.23587,                0.13902,                0.21724,                0.10397,                0.08146,                0.03477,                 1.3914,                 2.8147,                 2.3388,                  1.807,               0.006535,               0.006535,               0.006535
                     72,                 1.4184,                 3.2304,                  2.569,                 1.7401,                0.30461,                0.28755,                0.23384,                0.13741,                0.21579,                0.10908,                0.08379,                 0.0356,                 1.4047,                 2.8262,                 2.2322,                 1.8204,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4224,                 3.2317,                 2.5653,                 1.7451,                0.29705,                0.30253,                0.22944,                0.13497,                0.18675,                0.11612,                0.08269,                0.03431,                 1.3905,                  2.817,                  2.734,                 1.8015,               0.006436,               0.006436,               0.006436
                     74,                 1.4213,                 3.2223,                 2.5367,                 1.7369,                0.29348,                0.31982,                0.23487,                 0.1382,                0.20934,                0.11099,                0.08295,                0.03498,                 1.3931,                 2.8188,                 2.7358,                 1.8108,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4196,                 3.2076,                 2.5133,                 1.7382,                0.28385,                0.31775,                0.23488,                0.13849,                0.16995,                0.12611,                0.08379,                0.03539,                 1.3924,                 2.8088,                 3.0089,                 1.8063,               0.006337,               0.006337,               0.006337
                     76,                 1.4203,                 3.2047,                 2.5442,                 1.7399,                0.27469,                0.31406,                 0.2375,                0.13941,                0.19147,                0.12736,                0.08677,                0.03601,                 1.3847,                 2.8134,                 4.6644,                 1.8007,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4123,                 3.2081,                 2.5213,                 1.7319,                0.26532,                0.31481,                0.23274,                0.13705,                0.18791,                0.11778,                0.08538,                0.03568,                 1.3862,                 2.8291,                 5.4784,                 1.8022,               0.006238,               0.006238,               0.006238
                     78,                  1.407,                 3.2205,                 2.5123,                  1.728,                0.28156,                0.31183,                0.23681,                0.14005,                0.16634,                0.12363,                0.08543,                0.03537,                 1.3767,                 2.8136,                 4.3215,                 1.7906,              0.0061885,              0.0061885,              0.0061885
