                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5234,                 3.4038,                 3.0416,                 1.8352,                0.26685,                0.22443,                0.15913,                0.08879,                0.27578,                0.08037,                0.05936,                0.02492,                 1.5656,                 2.9727,                 2.5877,                 1.9479,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5207,                 3.3991,                 3.0008,                 1.8284,                0.34047,                0.23082,                0.17805,                 0.0999,                0.32191,                0.08459,                0.06382,                0.02704,                 1.5268,                 2.9646,                  2.512,                 1.9144,               0.008317,               0.008317,               0.008317
                     36,                 1.5169,                 3.3837,                 2.9621,                 1.8245,                0.32903,                0.23091,                0.16742,                0.09167,                0.24282,                0.08237,                 0.0542,                0.02306,                 1.5433,                 2.9864,                 2.5634,                 1.9258,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5109,                 3.3629,                 2.9705,                 1.8214,                 0.3001,                0.24395,                0.17669,                0.09758,                0.21294,                0.08679,                0.05669,                0.02427,                 1.5318,                 2.9705,                 2.5238,                 1.9077,               0.008218,               0.008218,               0.008218
                     38,                 1.5086,                 3.3781,                 2.9415,                 1.8164,                0.31563,                0.23239,                0.17607,                0.09922,                0.21704,                0.08754,                0.05842,                0.02431,                 1.5233,                 2.9731,                 2.4657,                 1.9132,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5078,                 3.3676,                 2.9483,                 1.8178,                0.29338,                0.25046,                0.18077,                0.09992,                0.24412,                0.09129,                0.06331,                0.02591,                 1.5246,                 2.9517,                 2.4723,                 1.9069,               0.008119,               0.008119,               0.008119
                     40,                 1.5059,                 3.3719,                 2.9235,                 1.8173,                0.30126,                0.22601,                0.17591,                0.09772,                 0.3032,                0.08202,                 0.0629,                0.02608,                 1.5275,                 2.9597,                 2.4863,                 1.9233,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5021,                 3.3309,                 2.8843,                 1.8102,                0.29267,                0.23535,                0.18194,                0.10395,                0.29352,                0.09558,                0.06879,                0.02762,                 1.5171,                 2.9413,                 2.4758,                  1.901,                0.00802,                0.00802,                0.00802
                     42,                 1.4964,                 3.3329,                 2.8722,                 1.8008,                0.29432,                 0.2573,                0.19248,                0.11035,                0.21069,                 0.1012,                0.06777,                0.02797,                 1.4872,                 2.9266,                 2.4026,                 1.8938,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4933,                 3.3503,                 2.8665,                 1.7996,                0.29675,                0.25882,                 0.1913,                0.10731,                0.23167,                 0.0963,                0.06629,                0.02735,                 1.5233,                 2.9501,                 2.4155,                 1.9116,               0.007921,               0.007921,               0.007921
                     44,                 1.4772,                 3.3396,                 2.8658,                  1.797,                0.35154,                0.24746,                0.20975,                 0.1221,                0.28723,                0.09883,                0.07154,                0.03015,                 1.4713,                 2.9121,                 2.3475,                  1.869,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4927,                 3.3432,                 2.8445,                 1.8059,                0.31219,                0.26413,                0.20407,                0.11593,                0.22501,                0.09779,                0.06736,                0.02872,                 1.4726,                 2.9122,                 2.3923,                 1.8836,               0.007822,               0.007822,               0.007822
                     46,                 1.4797,                 3.3104,                 2.8275,                 1.7972,                0.28272,                0.25417,                0.20212,                0.11641,                0.26799,                0.09251,                0.07378,                0.03083,                  1.487,                 2.9173,                 2.3487,                 1.8822,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4783,                  3.332,                 2.8075,                 1.7917,                0.29534,                0.26214,                0.20119,                0.11329,                0.23915,                0.10003,                0.07207,                0.02979,                   1.49,                 2.9299,                 2.3603,                 1.8835,               0.007723,               0.007723,               0.007723
                     48,                 1.4759,                  3.319,                 2.7978,                 1.7885,                0.31633,                0.26826,                0.20845,                0.11983,                0.24414,                0.09428,                0.07258,                0.02984,                  1.463,                 2.8965,                 2.3329,                 1.8539,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.472,                 3.2996,                 2.7681,                 1.7837,                0.31364,                 0.2711,                0.22161,                0.12603,                0.25292,                0.10083,                0.07595,                0.03051,                  1.454,                 2.8742,                 2.3137,                 1.8575,               0.007624,               0.007624,               0.007624
                     50,                 1.4698,                 3.3094,                  2.782,                 1.7898,                0.31069,                0.27123,                0.21441,                0.12134,                0.25274,                0.09805,                0.07205,                0.02995,                 1.4616,                 2.9015,                 2.3112,                 1.8665,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4712,                 3.3117,                 2.7568,                 1.7872,                0.28459,                0.29147,                0.21387,                0.12291,                0.25764,                0.10099,                0.07787,                0.03184,                 1.4735,                 2.8927,                 2.3148,                 1.8725,               0.007525,               0.007525,               0.007525
                     52,                 1.4634,                 3.2942,                 2.7427,                 1.7825,                 0.3051,                0.28334,                 0.2171,                0.12526,                0.21706,                0.10211,                0.07178,                0.03019,                 1.4442,                 2.8858,                 2.2825,                 1.8465,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4594,                 3.2929,                 2.7181,                  1.778,                0.29985,                0.29275,                0.21977,                0.12679,                0.23987,                0.09646,                0.07366,                0.03081,                 1.4212,                 2.8598,                 2.2775,                 1.8328,               0.007426,               0.007426,               0.007426
                     54,                  1.464,                 3.2981,                 2.7235,                 1.7824,                0.32507,                0.28093,                0.22024,                0.12862,                0.23271,                0.10638,                 0.0758,                0.03159,                 1.4413,                 2.8911,                 2.2781,                 1.8392,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4593,                 3.2917,                  2.706,                 1.7777,                0.30816,                0.27722,                0.21597,                0.12567,                0.25878,                0.10091,                 0.0757,                0.03207,                 1.4415,                  2.866,                 2.2913,                 1.8484,               0.007327,               0.007327,               0.007327
                     56,                 1.4534,                 3.2712,                 2.6892,                 1.7656,                0.29683,                0.29786,                0.23156,                0.13406,                0.21428,                 0.1053,                0.07627,                0.03238,                 1.4535,                 2.8784,                 2.2401,                 1.8537,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4537,                 3.2864,                 2.6897,                 1.7712,                 0.3002,                0.29592,                0.23263,                0.13528,                0.19408,                0.11673,                0.07862,                0.03216,                 1.4461,                 2.8736,                 2.2354,                 1.8467,               0.007228,               0.007228,               0.007228
                     58,                 1.4486,                 3.2726,                 2.6576,                  1.765,                0.30586,                0.29765,                0.22448,                0.13107,                0.22113,                0.10632,                  0.076,                0.03275,                  1.433,                 2.8613,                  2.256,                 1.8433,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4446,                 3.2774,                 2.6688,                 1.7662,                0.28944,                 0.3053,                0.23063,                0.13535,                0.19622,                0.10938,                0.08052,                0.03464,                 1.4365,                 2.8633,                 2.2418,                 1.8456,               0.007129,               0.007129,               0.007129
                     60,                 1.4467,                 3.2666,                 2.6406,                 1.7617,                0.31935,                0.30474,                0.23774,                0.13998,                0.23225,                0.11489,                0.08584,                0.03534,                 1.4358,                 2.8537,                  2.229,                 1.8256,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4454,                 3.2749,                 2.6497,                 1.7666,                0.29894,                0.29693,                0.23452,                0.13604,                0.21594,                0.10632,                0.08078,                0.03403,                 1.4242,                 2.8489,                 2.2288,                 1.8219,                0.00703,                0.00703,                0.00703
                     62,                 1.4426,                  3.283,                 2.6372,                 1.7623,                0.32598,                0.29964,                0.23881,                0.14133,                0.20818,                0.11873,                0.08539,                0.03578,                 1.4221,                 2.8459,                 2.2039,                  1.823,              0.0069805,              0.0069805,              0.0069805
