                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.476,                 3.1194,                 2.6117,                 1.7856,                 0.2808,                0.30097,                0.21647,                0.12818,                0.19032,                0.10379,                0.07488,                0.03166,                 1.3904,                 2.5668,                 2.2723,                 1.8436,               0.007327,               0.007327,               0.007327
                     56,                 1.4727,                 3.0841,                 2.5805,                 1.7828,                0.27984,                0.30964,                0.22148,                0.13147,                0.17629,                0.10673,                 0.0746,                0.03151,                 1.3904,                 2.5665,                 3.0177,                 1.8468,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4714,                 3.0933,                 2.5728,                 1.7822,                0.30054,                0.30118,                0.22855,                0.13429,                0.22985,                0.10569,                0.08041,                 0.0334,                  1.402,                 2.5673,                 2.2233,                 1.8491,               0.007228,               0.007228,               0.007228
                     58,                 1.4566,                 3.0773,                 2.5562,                 1.7731,                0.29607,                0.31087,                0.22563,                0.13152,                 0.2015,                0.10508,                0.07526,                0.03073,                  1.393,                 2.5624,                 2.5849,                 1.8394,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4613,                 3.0913,                 2.5499,                 1.7775,                0.28798,                 0.3069,                0.22149,                0.13012,                0.18453,                0.10879,                0.07822,                0.03282,                 1.3989,                 2.5647,                 2.6937,                 1.8457,               0.007129,               0.007129,               0.007129
                     60,                 1.4614,                 3.0486,                 2.5369,                 1.7782,                0.29266,                0.30538,                0.22079,                 0.1297,                0.20348,                0.10629,                0.07491,                0.03167,                 1.3745,                 2.5357,                 3.2237,                 1.8194,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4643,                 3.0696,                 2.5331,                 1.7703,                0.29997,                0.29559,                0.22208,                0.13068,                0.18771,                0.10361,                0.07322,                0.03121,                 1.3862,                 2.5444,                 2.3705,                 1.8311,                0.00703,                0.00703,                0.00703
                     62,                  1.454,                 3.0558,                 2.5157,                 1.7657,                0.30788,                0.30012,                0.23533,                0.13861,                0.20871,                0.10734,                0.07997,                0.03358,                 1.3824,                 2.5399,                 2.1449,                 1.8308,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4542,                 3.0694,                 2.4991,                 1.7678,                0.27812,                0.31075,                0.23193,                0.13659,                0.21315,                0.10435,                0.08282,                0.03529,                 1.3864,                 2.5523,                 2.1489,                 1.8391,               0.006931,               0.006931,               0.006931
                     64,                 1.4462,                 3.0591,                 2.4846,                 1.7641,                0.29345,                0.31183,                0.22219,                0.13168,                0.19697,                0.10847,                0.07835,                0.03252,                 1.3795,                  2.544,                 4.2421,                 1.8277,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4515,                 3.0626,                  2.491,                 1.7642,                0.27704,                 0.3097,                0.21883,                 0.1285,                0.19956,                0.11079,                0.07659,                 0.0317,                 1.3883,                 2.5462,                 3.9009,                  1.832,               0.006832,               0.006832,               0.006832
                     66,                 1.4444,                 3.0533,                 2.4674,                 1.7606,                0.27825,                0.31648,                0.22557,                 0.1348,                0.23237,                  0.109,                  0.079,                0.03253,                 1.3629,                 2.5277,                 3.2553,                 1.8224,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4373,                 3.0434,                 2.4691,                 1.7517,                0.31608,                0.32097,                0.23547,                0.14193,                0.22332,                0.11098,                0.08148,                0.03387,                 1.3462,                 2.5162,                 2.6753,                 1.8024,               0.006733,               0.006733,               0.006733
                     68,                 1.4345,                 3.0523,                 2.4407,                 1.7482,                0.31167,                0.31896,                0.22987,                0.13719,                0.20768,                0.11799,                0.07901,                0.03267,                 1.3482,                 2.5233,                 3.3745,                 1.8036,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4247,                 3.0236,                  2.431,                 1.7388,                0.27948,                0.32917,                0.22804,                 0.1368,                 0.1949,                0.11506,                0.08264,                 0.0344,                 1.3557,                 2.5307,                 5.1768,                  1.811,               0.006634,               0.006634,               0.006634
                     70,                 1.4344,                  3.028,                 2.4276,                 1.7504,                0.28589,                0.32479,                0.23363,                0.13845,                0.21352,                0.11215,                0.08207,                  0.034,                 1.3515,                 2.5198,                 7.6916,                  1.804,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4194,                 3.0271,                 2.4061,                 1.7409,                 0.3019,                0.31336,                0.22989,                0.13692,                0.22842,                0.11666,                0.08173,                 0.0347,                  1.357,                 2.5248,                 9.3393,                 1.8044,               0.006535,               0.006535,               0.006535
                     72,                 1.4227,                 3.0294,                 2.4004,                  1.737,                0.28428,                 0.3275,                0.23072,                0.13718,                0.18261,                0.11646,                0.08186,                0.03529,                 1.3527,                 2.5202,                 7.6958,                 1.8089,              0.0064855,              0.0064855,              0.0064855
                     73,                   1.42,                 3.0017,                 2.3946,                 1.7364,                0.26443,                0.34565,                 0.2259,                0.13588,                0.19574,                0.11595,                0.08083,                0.03371,                 1.3483,                 2.5168,                   5.74,                 1.8004,               0.006436,               0.006436,               0.006436
                     74,                 1.4194,                 3.0146,                 2.3862,                 1.7383,                0.27657,                 0.3389,                 0.2321,                0.14009,                0.21071,                0.11625,                0.08441,                0.03516,                  1.349,                 2.5109,                  3.524,                 1.8008,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4203,                 3.0279,                 2.3756,                 1.7339,                0.27555,                 0.3398,                0.23448,                 0.1414,                0.22554,                0.11189,                0.08548,                0.03591,                  1.344,                 2.5147,                 2.7464,                 1.7996,               0.006337,               0.006337,               0.006337
                     76,                 1.4241,                  3.024,                 2.3819,                 1.7429,                0.28794,                0.33935,                 0.2341,                0.13978,                0.18752,                0.11971,                0.08387,                0.03476,                 1.3391,                 2.5055,                 3.0674,                 1.7997,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4052,                 3.0031,                 2.3475,                 1.7221,                0.28382,                 0.3424,                0.23635,                0.14242,                0.20931,                0.11359,                0.08264,                0.03482,                 1.3402,                 2.5032,                 3.7417,                 1.8021,               0.006238,               0.006238,               0.006238
                     78,                 1.4123,                 3.0097,                 2.3666,                  1.729,                0.30161,                0.33422,                0.24489,                0.14801,                0.21838,                0.11829,                0.08734,                0.03598,                 1.3368,                 2.4973,                 3.1213,                  1.795,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4165,                 3.0194,                 2.3523,                 1.7316,                0.29209,                0.34084,                0.24778,                0.14946,                0.21999,                0.11437,                0.08767,                0.03647,                 1.3339,                 2.4902,                  3.025,                 1.7909,               0.006139,               0.006139,               0.006139
                     80,                 1.4095,                 3.0014,                 2.3304,                  1.729,                0.28571,                0.33799,                0.24655,                0.14837,                0.18875,                0.11702,                0.08595,                  0.036,                 1.3346,                 2.4915,                 3.1119,                 1.7882,              0.0060895,              0.0060895,              0.0060895
