                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5175,                 3.0452,                  2.832,                 1.8295,                0.28798,                0.26116,                0.18837,                0.10362,                0.22356,                0.06913,                0.04617,                0.01919,                 1.4373,                 2.4782,                 2.3326,                  1.893,               0.007822,               0.007822,               0.007822
                     46,                 1.5061,                 3.0421,                 2.8005,                 1.8224,                0.28878,                0.27081,                0.18759,                0.10518,                0.24901,                0.07502,                0.05227,                0.02146,                 1.4138,                 2.4767,                 2.3344,                 1.8801,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.5082,                 3.0348,                 2.7855,                   1.82,                0.32083,                0.26337,                0.18683,                0.10477,                0.23289,                0.07863,                 0.0512,                0.02129,                 1.4286,                 2.4634,                 2.3265,                 1.9031,               0.007723,               0.007723,               0.007723
                     48,                 1.5009,                 3.0074,                 2.7835,                 1.8177,                0.30247,                0.26237,                0.18473,                0.10209,                0.19709,                0.07927,                0.05113,                0.02046,                 1.4315,                 2.4851,                 2.3238,                 1.9013,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4993,                 3.0181,                 2.7854,                 1.8239,                0.29916,                0.26902,                0.20369,                0.11332,                0.21284,                0.08004,                0.05389,                0.02131,                 1.4132,                 2.4552,                 2.2869,                 1.8736,               0.007624,               0.007624,               0.007624
                     50,                 1.4961,                 2.9996,                 2.7576,                 1.8162,                0.29573,                0.25998,                0.18927,                0.10424,                0.20968,                0.08047,                0.05125,                0.02037,                 1.4319,                 2.4672,                 2.3149,                 1.8976,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4958,                 3.0341,                 2.7722,                 1.8177,                0.27919,                0.26966,                0.18979,                0.10578,                0.17934,                 0.0817,                0.05544,                0.02232,                 1.4305,                 2.4793,                 2.2999,                  1.894,               0.007525,               0.007525,               0.007525
                     52,                 1.4931,                 3.0037,                 2.7393,                 1.8165,                0.29075,                0.28117,                0.19532,                0.10884,                0.19093,                0.08057,                0.05254,                0.02107,                 1.4091,                 2.4521,                 2.2788,                 1.8685,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4854,                 3.0143,                 2.7232,                 1.8031,                0.31272,                 0.2745,                0.19585,                0.10845,                0.21593,                0.08498,                0.05395,                0.02147,                 1.4205,                 2.4532,                 2.2726,                 1.8711,               0.007426,               0.007426,               0.007426
                     54,                 1.4846,                 3.0157,                  2.712,                 1.8059,                0.30315,                0.27193,                 0.2015,                0.11343,                 0.2318,                0.08393,                0.05653,                0.02289,                 1.4064,                 2.4565,                 2.2404,                 1.8659,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.489,                 3.0225,                 2.7039,                 1.8093,                0.28666,                0.28252,                0.21021,                0.11816,                0.20179,                0.08151,                0.05836,                0.02385,                 1.4018,                 2.4443,                 2.2296,                 1.8647,               0.007327,               0.007327,               0.007327
                     56,                 1.4818,                 2.9923,                 2.6773,                 1.8021,                0.29821,                0.29198,                0.21172,                0.11781,                0.18412,                0.08524,                0.05703,                0.02271,                 1.3929,                 2.4444,                  2.214,                 1.8597,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.483,                 2.9947,                 2.6601,                 1.8024,                0.31175,                0.28956,                0.21401,                0.12043,                0.19927,                0.08267,                0.05799,                0.02328,                 1.3962,                 2.4339,                 2.2074,                 1.8621,               0.007228,               0.007228,               0.007228
                     58,                 1.4681,                 2.9816,                 2.6547,                  1.791,                0.29831,                0.28286,                0.21759,                0.12393,                0.23408,                0.07937,                 0.0602,                0.02335,                  1.379,                 2.4289,                 2.2004,                 1.8428,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4757,                 2.9951,                 2.6494,                 1.7961,                0.28465,                0.29471,                0.21227,                0.12012,                0.19146,                0.08824,                0.06086,                0.02415,                 1.3953,                 2.4394,                 2.2215,                  1.856,               0.007129,               0.007129,               0.007129
                     60,                 1.4757,                  2.955,                 2.6425,                 1.8007,                0.29891,                0.30068,                0.22044,                0.12427,                0.21424,                0.08928,                0.06243,                0.02372,                 1.3779,                 2.4116,                 2.1885,                 1.8408,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4695,                  2.967,                 2.6376,                 1.7897,                0.28606,                0.29056,                0.21967,                0.12611,                0.21002,                0.08625,                0.06223,                 0.0247,                 1.3639,                 2.4002,                 2.1842,                  1.834,                0.00703,                0.00703,                0.00703
                     62,                 1.4629,                 2.9591,                 2.6088,                 1.7834,                0.30274,                0.28554,                0.21829,                0.12419,                 0.2023,                0.08885,                0.06252,                0.02461,                 1.3808,                 2.4164,                 2.1973,                  1.845,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4672,                 2.9627,                 2.6034,                 1.7882,                0.27611,                0.29478,                0.20876,                0.11928,                0.19825,                0.08776,                0.06032,                0.02411,                 1.3708,                 2.4216,                 2.2005,                 1.8393,               0.006931,               0.006931,               0.006931
                     64,                 1.4578,                  2.964,                 2.5909,                 1.7788,                0.29537,                 0.3024,                 0.2161,                0.12459,                 0.1865,                0.09054,                0.06109,                0.02401,                 1.3585,                 2.4116,                 2.1609,                 1.8256,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4649,                 2.9678,                 2.5978,                 1.7867,                0.26904,                0.30907,                0.20661,                0.11834,                0.17833,                0.09465,                0.05839,                0.02257,                 1.3614,                  2.407,                 2.2031,                  1.829,               0.006832,               0.006832,               0.006832
                     66,                 1.4545,                 2.9542,                 2.5719,                 1.7772,                0.27314,                0.31117,                0.20777,                0.11979,                0.17922,                0.08892,                0.05405,                0.02148,                 1.3438,                 2.3879,                 2.3704,                 1.8169,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.452,                 2.9522,                 2.5707,                 1.7705,                0.28649,                0.31506,                0.21832,                0.12768,                0.20488,                0.09716,                0.05925,                0.02364,                 1.3316,                  2.397,                 2.2001,                 1.8105,               0.006733,               0.006733,               0.006733
                     68,                 1.4478,                 2.9543,                 2.5417,                 1.7675,                0.29486,                0.31056,                0.22096,                0.12884,                0.21195,                0.09211,                0.05988,                0.02394,                 1.3345,                 2.3911,                 2.1286,                 1.8139,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4331,                 2.9235,                 2.5308,                 1.7573,                0.28351,                0.32136,                 0.2223,                0.12926,                0.18148,                0.09196,                0.06392,                0.02587,                 1.3315,                 2.3919,                 2.1288,                 1.8137,               0.006634,               0.006634,               0.006634
                     70,                 1.4442,                 2.9311,                 2.5237,                 1.7666,                0.31244,                0.30596,                0.22968,                0.13569,                0.20393,                0.09452,                0.06587,                0.02665,                 1.3306,                 2.3852,                 2.1151,                 1.8069,              0.0065845,              0.0065845,              0.0065845
